quarter,industry1,occupation1,job_vacancy
2012-Q3,construction,"professional, managers, executive and technicians",1000
2012-Q3,construction,"clerical, sales and services workers",200
2012-Q3,construction,"production and transport operators, cleaners and labourers",3000
2012-Q3,services,total,44200
2012-Q3,services,"professional, managers, executive and technicians",18600
2012-Q3,services,"clerical, sales and services workers",16800
2012-Q3,services,"production and transport operators, cleaners and labourers",8800
2012-Q3,others,total,1000
2012-Q3,others,"professional, managers, executive and technicians",700
2012-Q3,others,"clerical, sales and services workers",100
2012-Q3,others,"production and transport operators, cleaners and labourers",200
2012-Q4,total,total,43900
2012-Q4,total,"professional, managers, executive and technicians",18400
2012-Q4,total,"clerical, sales and services workers",13900
2012-Q4,total,"production and transport operators, cleaners and labourers",11600
2012-Q4,manufacturing,total,6000
2012-Q4,manufacturing,"professional, managers, executive and technicians",2100
2012-Q4,manufacturing,"clerical, sales and services workers",600
2012-Q4,manufacturing,"production and transport operators, cleaners and labourers",3300
2012-Q4,construction,total,2700
2012-Q4,construction,"professional, managers, executive and technicians",500
2012-Q4,construction,"clerical, sales and services workers",200
2012-Q4,construction,"production and transport operators, cleaners and labourers",1900
2012-Q4,services,total,34300
2012-Q4,services,"professional, managers, executive and technicians",15000
2012-Q4,services,"clerical, sales and services workers",13000
2012-Q4,services,"production and transport operators, cleaners and labourers",6200
2012-Q4,others,total,900
2012-Q4,others,"professional, managers, executive and technicians",700
2012-Q4,others,"clerical, sales and services workers",-
2012-Q4,others,"production and transport operators, cleaners and labourers",200
2013-Q1,total,total,51100
2013-Q1,total,"professional, managers, executive and technicians",21900
2013-Q1,total,"clerical, sales and services workers",13700
2013-Q1,total,"production and transport operators, cleaners and labourers",15500
2013-Q1,manufacturing,total,7700
2013-Q1,manufacturing,"professional, managers, executive and technicians",3100
2013-Q1,manufacturing,"clerical, sales and services workers",600
2013-Q1,manufacturing,"production and transport operators, cleaners and labourers",3900
2013-Q1,construction,total,3800
2013-Q1,construction,"professional, managers, executive and technicians",800
2013-Q1,construction,"clerical, sales and services workers",300
2013-Q1,construction,"production and transport operators, cleaners and labourers",2600
2013-Q1,services,total,38800
2013-Q1,services,"professional, managers, executive and technicians",17500
2013-Q1,services,"clerical, sales and services workers",12500
2013-Q1,services,"production and transport operators, cleaners and labourers",8800
2013-Q1,others,total,800
2013-Q1,others,"professional, managers, executive and technicians",500
2013-Q1,others,"clerical, sales and services workers",200
2013-Q1,others,"production and transport operators, cleaners and labourers",200
2013-Q2,total,total,52100
2013-Q2,total,"professional, managers, executive and technicians",23800
2013-Q2,total,"clerical, sales and services workers",13300
2013-Q2,total,"production and transport operators, cleaners and labourers",14900
2013-Q2,manufacturing,total,7700
2013-Q2,manufacturing,"professional, managers, executive and technicians",3200
2013-Q2,manufacturing,"clerical, sales and services workers",600
2013-Q2,manufacturing,"production and transport operators, cleaners and labourers",3900
2013-Q2,construction,total,3700
2013-Q2,construction,"professional, managers, executive and technicians",1000
2013-Q2,construction,"clerical, sales and services workers",400
2013-Q2,construction,"production and transport operators, cleaners and labourers",2300
2013-Q2,services,total,40100
2013-Q2,services,"professional, managers, executive and technicians",19200
2013-Q2,services,"clerical, sales and services workers",12300
2013-Q2,services,"production and transport operators, cleaners and labourers",8600
2013-Q2,others,total,500
2013-Q2,others,"professional, managers, executive and technicians",400
2013-Q2,others,"clerical, sales and services workers",-
2013-Q2,others,"production and transport operators, cleaners and labourers",100
2013-Q3,total,total,61900
2013-Q3,total,"professional, managers, executive and technicians",24300
2013-Q3,total,"clerical, sales and services workers",20200
2013-Q3,total,"production and transport operators, cleaners and labourers",17400
2013-Q3,manufacturing,total,8200
2013-Q3,manufacturing,"professional, managers, executive and technicians",3300
2013-Q3,manufacturing,"clerical, sales and services workers",800
2013-Q3,manufacturing,"production and transport operators, cleaners and labourers",4100
2013-Q3,construction,total,4000
2013-Q3,construction,"professional, managers, executive and technicians",1200
2013-Q3,construction,"clerical, sales and services workers",200
2013-Q3,construction,"production and transport operators, cleaners and labourers",2600
2013-Q3,services,total,49000
2013-Q3,services,"professional, managers, executive and technicians",19400
2013-Q3,services,"clerical, sales and services workers",19100
2013-Q3,services,"production and transport operators, cleaners and labourers",10500
2013-Q3,others,total,700
2013-Q3,others,"professional, managers, executive and technicians",400
2013-Q3,others,"clerical, sales and services workers",-
2013-Q3,others,"production and transport operators, cleaners and labourers",200
2013-Q4,total,total,56500
2013-Q4,total,"professional, managers, executive and technicians",24100
2013-Q4,total,"clerical, sales and services workers",16500
2013-Q4,total,"production and transport operators, cleaners and labourers",15900
2013-Q4,manufacturing,total,7400
2013-Q4,manufacturing,"professional, managers, executive and technicians",3100
2013-Q4,manufacturing,"clerical, sales and services workers",500
2013-Q4,manufacturing,"production and transport operators, cleaners and labourers",3800
2013-Q4,construction,total,3900
2013-Q4,construction,"professional, managers, executive and technicians",1200
2013-Q4,construction,"clerical, sales and services workers",300
2013-Q4,construction,"production and transport operators, cleaners and labourers",2500
2013-Q4,services,total,44800
2013-Q4,services,"professional, managers, executive and technicians",19600
2013-Q4,services,"clerical, sales and services workers",15700
2013-Q4,services,"production and transport operators, cleaners and labourers",9500
2013-Q4,others,total,400
2013-Q4,others,"professional, managers, executive and technicians",200
2013-Q4,others,"clerical, sales and services workers",-
2013-Q4,others,"production and transport operators, cleaners and labourers",200
2014-Q1,total,total,60500
2014-Q1,total,"professional, managers, executive and technicians",26400
2014-Q1,total,"clerical, sales and services workers",17700
2014-Q1,total,"production and transport operators, cleaners and labourers",16300
2014-Q1,manufacturing,total,8200
2014-Q1,manufacturing,"professional, managers, executive and technicians",3500
2014-Q1,manufacturing,"clerical, sales and services workers",900
2014-Q1,manufacturing,"production and transport operators, cleaners and labourers",3700
2014-Q1,construction,total,3500
2014-Q1,construction,"professional, managers, executive and technicians",1000
2014-Q1,construction,"clerical, sales and services workers",100
2014-Q1,construction,"production and transport operators, cleaners and labourers",2400
2014-Q1,services,total,48400
2014-Q1,services,"professional, managers, executive and technicians",21700
2014-Q1,services,"clerical, sales and services workers",16700
2014-Q1,services,"production and transport operators, cleaners and labourers",10100
2014-Q1,others,total,400
2014-Q1,others,"professional, managers, executive and technicians",200
2014-Q1,others,"clerical, sales and services workers",-
2014-Q1,others,"production and transport operators, cleaners and labourers",200
2014-Q2,total,total,63900
2014-Q2,total,"professional, managers, executive and technicians",29100
2014-Q2,total,"clerical, sales and services workers",17800
2014-Q2,total,"production and transport operators, cleaners and labourers",17000
2014-Q2,manufacturing,total,8900
2014-Q2,manufacturing,"professional, managers, executive and technicians",4200
2014-Q2,manufacturing,"clerical, sales and services workers",700
2014-Q2,manufacturing,"production and transport operators, cleaners and labourers",4000
2014-Q2,construction,total,3500
2014-Q2,construction,"professional, managers, executive and technicians",1200
2014-Q2,construction,"clerical, sales and services workers",200
2014-Q2,construction,"production and transport operators, cleaners and labourers",2100
2014-Q2,services,total,50900
2014-Q2,services,"professional, managers, executive and technicians",23400
2014-Q2,services,"clerical, sales and services workers",16700
2014-Q2,services,"production and transport operators, cleaners and labourers",10800
2014-Q2,others,total,500
2014-Q2,others,"professional, managers, executive and technicians",300
2014-Q2,others,"clerical, sales and services workers",100
2014-Q2,others,"production and transport operators, cleaners and labourers",200
2014-Q3,total,total,67400
2014-Q3,total,"professional, managers, executive and technicians",29300
2014-Q3,total,"clerical, sales and services workers",20900
2014-Q3,total,"production and transport operators, cleaners and labourers",17300
2014-Q3,manufacturing,total,9200
2014-Q3,manufacturing,"professional, managers, executive and technicians",3800
2014-Q3,manufacturing,"clerical, sales and services workers",900
2014-Q3,manufacturing,"production and transport operators, cleaners and labourers",4500
2014-Q3,construction,total,3800
2014-Q3,construction,"professional, managers, executive and technicians",1400
2014-Q3,construction,"clerical, sales and services workers",200
2014-Q3,construction,"production and transport operators, cleaners and labourers",2200
2014-Q3,services,total,53700
2014-Q3,services,"professional, managers, executive and technicians",23800
2014-Q3,services,"clerical, sales and services workers",19700
2014-Q3,services,"production and transport operators, cleaners and labourers",10300
2014-Q3,others,total,600
2014-Q3,others,"professional, managers, executive and technicians",300
2014-Q3,others,"clerical, sales and services workers",-
2014-Q3,others,"production and transport operators, cleaners and labourers",300
2014-Q4,total,total,61200
2014-Q4,total,"professional, managers, executive and technicians",28600
2014-Q4,total,"clerical, sales and services workers",17300
2014-Q4,total,"production and transport operators, cleaners and labourers",15300
2014-Q4,manufacturing,total,7600
2014-Q4,manufacturing,"professional, managers, executive and technicians",3200
2014-Q4,manufacturing,"clerical, sales and services workers",800
2014-Q4,manufacturing,"production and transport operators, cleaners and labourers",3600
2014-Q4,construction,total,3600
2014-Q4,construction,"professional, managers, executive and technicians",1000
2014-Q4,construction,"clerical, sales and services workers",200
2014-Q4,construction,"production and transport operators, cleaners and labourers",2400
2014-Q4,services,total,49500
2014-Q4,services,"professional, managers, executive and technicians",24100
2014-Q4,services,"clerical, sales and services workers",16300
2014-Q4,services,"production and transport operators, cleaners and labourers",9200
2014-Q4,others,total,500
2014-Q4,others,"professional, managers, executive and technicians",300
2014-Q4,others,"clerical, sales and services workers",-
2014-Q4,others,"production and transport operators, cleaners and labourers",200
2015-Q1,total,total,63700
2015-Q1,total,"professional, managers, executive and technicians",31100
2015-Q1,total,"clerical, sales and services workers",17500
2015-Q1,total,"production and transport operators, cleaners and labourers",15000
2015-Q1,manufacturing,total,7800
2015-Q1,manufacturing,"professional, managers, executive and technicians",3900
2015-Q1,manufacturing,"clerical, sales and services workers",600
2015-Q1,manufacturing,"production and transport operators, cleaners and labourers",3300
2015-Q1,construction,total,3200
2015-Q1,construction,"professional, managers, executive and technicians",1200
2015-Q1,construction,"clerical, sales and services workers",200
2015-Q1,construction,"production and transport operators, cleaners and labourers",1800
2015-Q1,services,total,52300
2015-Q1,services,"professional, managers, executive and technicians",25800
2015-Q1,services,"clerical, sales and services workers",16700
2015-Q1,services,"production and transport operators, cleaners and labourers",9800
2015-Q1,others,total,400
2015-Q1,others,"professional, managers, executive and technicians",300
2015-Q1,others,"clerical, sales and services workers",-
2015-Q1,others,"production and transport operators, cleaners and labourers",100
2015-Q2,total,total,63000
2015-Q2,total,"professional, managers, executive and technicians",32100
2015-Q2,total,"clerical, sales and services workers",17400
2015-Q2,total,"production and transport operators, cleaners and labourers",13500
2015-Q2,manufacturing,total,6800
2015-Q2,manufacturing,"professional, managers, executive and technicians",3500
2015-Q2,manufacturing,"clerical, sales and services workers",600
2015-Q2,manufacturing,"production and transport operators, cleaners and labourers",2800
2015-Q2,construction,total,3300
2015-Q2,construction,"professional, managers, executive and technicians",1000
2015-Q2,construction,"clerical, sales and services workers",300
2015-Q2,construction,"production and transport operators, cleaners and labourers",2100
2015-Q2,services,total,52400
2015-Q2,services,"professional, managers, executive and technicians",27400
2015-Q2,services,"clerical, sales and services workers",16500
2015-Q2,services,"production and transport operators, cleaners and labourers",8500
2015-Q2,others,total,400
2015-Q2,others,"professional, managers, executive and technicians",200
2015-Q2,others,"clerical, sales and services workers",-
2015-Q2,others,"production and transport operators, cleaners and labourers",100
2015-Q3,total,total,60000
2015-Q3,total,"professional, managers, executive and technicians",27200
2015-Q3,total,"clerical, sales and services workers",17900
2015-Q3,total,"production and transport operators, cleaners and labourers",14900
2015-Q3,manufacturing,total,6800
2015-Q3,manufacturing,"professional, managers, executive and technicians",2700
2015-Q3,manufacturing,"clerical, sales and services workers",700
2015-Q3,manufacturing,"production and transport operators, cleaners and labourers",3400
2015-Q3,construction,total,3200
2015-Q3,construction,"professional, managers, executive and technicians",1000
2015-Q3,construction,"clerical, sales and services workers",200
2015-Q3,construction,"production and transport operators, cleaners and labourers",2000
2015-Q3,services,total,49200
2015-Q3,services,"professional, managers, executive and technicians",23100
2015-Q3,services,"clerical, sales and services workers",17000
2015-Q3,services,"production and transport operators, cleaners and labourers",9100
2015-Q3,others,total,700
2015-Q3,others,"professional, managers, executive and technicians",400
2015-Q3,others,"clerical, sales and services workers",-
2015-Q3,others,"production and transport operators, cleaners and labourers",300
2015-Q4,total,total,50600
2015-Q4,total,"professional, managers, executive and technicians",23900
2015-Q4,total,"clerical, sales and services workers",14600
2015-Q4,total,"production and transport operators, cleaners and labourers",12100
2015-Q4,manufacturing,total,6400
2015-Q4,manufacturing,"professional, managers, executive and technicians",2900
2015-Q4,manufacturing,"clerical, sales and services workers",600
2015-Q4,manufacturing,"production and transport operators, cleaners and labourers",3000
2015-Q4,construction,total,1900
2015-Q4,construction,"professional, managers, executive and technicians",600
2015-Q4,construction,"clerical, sales and services workers",200
2015-Q4,construction,"production and transport operators, cleaners and labourers",1100
2015-Q4,services,total,41700
2015-Q4,services,"professional, managers, executive and technicians",20200
2015-Q4,services,"clerical, sales and services workers",13700
2015-Q4,services,"production and transport operators, cleaners and labourers",7800
2015-Q4,others,total,400
2015-Q4,others,"professional, managers, executive and technicians",200
2015-Q4,others,"clerical, sales and services workers",100
2015-Q4,others,"production and transport operators, cleaners and labourers",200
2016-Q1,total,total,49200
2016-Q1,total,"professional, managers, executive and technicians",24600
2016-Q1,total,"clerical, sales and services workers",13700
2016-Q1,total,"production and transport operators, cleaners and labourers",10900
2016-Q1,manufacturing,total,5900
2016-Q1,manufacturing,"professional, managers, executive and technicians",2800
2016-Q1,manufacturing,"clerical, sales and services workers",500
2016-Q1,manufacturing,"production and transport operators, cleaners and labourers",2600
2016-Q1,construction,total,2000
2016-Q1,construction,"professional, managers, executive and technicians",700
2016-Q1,construction,"clerical, sales and services workers",200
2016-Q1,construction,"production and transport operators, cleaners and labourers",1100
2016-Q1,services,total,40900
2016-Q1,services,"professional, managers, executive and technicians",20900
2016-Q1,services,"clerical, sales and services workers",12900
2016-Q1,services,"production and transport operators, cleaners and labourers",7100
2016-Q1,others,total,300
2016-Q1,others,"professional, managers, executive and technicians",200
2016-Q1,others,"clerical, sales and services workers",-
2016-Q1,others,"production and transport operators, cleaners and labourers",100
2016-Q2,total,total,50500
2016-Q2,total,"professional, managers, executive and technicians",26300
2016-Q2,total,"clerical, sales and services workers",13300
2016-Q2,total,"production and transport operators, cleaners and labourers",10800
2016-Q2,manufacturing,total,6200
2016-Q2,manufacturing,"professional, managers, executive and technicians",2800
2016-Q2,manufacturing,"clerical, sales and services workers",500
2016-Q2,manufacturing,"production and transport operators, cleaners and labourers",2800
2016-Q2,construction,total,1800
2016-Q2,construction,"professional, managers, executive and technicians",700
2016-Q2,construction,"clerical, sales and services workers",200
2016-Q2,construction,"production and transport operators, cleaners and labourers",1000
2016-Q2,services,total,42100
2016-Q2,services,"professional, managers, executive and technicians",22600
2016-Q2,services,"clerical, sales and services workers",12600
2016-Q2,services,"production and transport operators, cleaners and labourers",6800
2016-Q2,others,total,400
2016-Q2,others,"professional, managers, executive and technicians",200
2016-Q2,others,"clerical, sales and services workers",100
2016-Q2,others,"production and transport operators, cleaners and labourers",200
2016-Q3,total,total,53800
2016-Q3,total,"professional, managers, executive and technicians",25800
2016-Q3,total,"clerical, sales and services workers",15900
2016-Q3,total,"production and transport operators, cleaners and labourers",12100
2016-Q3,manufacturing,total,6100
2016-Q3,manufacturing,"professional, managers, executive and technicians",2500
2016-Q3,manufacturing,"clerical, sales and services workers",500
2016-Q3,manufacturing,"production and transport operators, cleaners and labourers",3000
2016-Q3,construction,total,2400
2016-Q3,construction,"professional, managers, executive and technicians",800
2016-Q3,construction,"clerical, sales and services workers",200
2016-Q3,construction,"production and transport operators, cleaners and labourers",1400
2016-Q3,services,total,44900
2016-Q3,services,"professional, managers, executive and technicians",22300
2016-Q3,services,"clerical, sales and services workers",15200
2016-Q3,services,"production and transport operators, cleaners and labourers",7400
2016-Q3,others,total,400
2016-Q3,others,"professional, managers, executive and technicians",200
2016-Q3,others,"clerical, sales and services workers",-
2016-Q3,others,"production and transport operators, cleaners and labourers",200
2016-Q4,total,total,44500
2016-Q4,total,"professional, managers, executive and technicians",23200
2016-Q4,total,"clerical, sales and services workers",11700
2016-Q4,total,"production and transport operators, cleaners and labourers",9700
2016-Q4,manufacturing,total,5200
2016-Q4,manufacturing,"professional, managers, executive and technicians",2300
2016-Q4,manufacturing,"clerical, sales and services workers",300
2016-Q4,manufacturing,"production and transport operators, cleaners and labourers",2600
2016-Q4,construction,total,1600
2016-Q4,construction,"professional, managers, executive and technicians",600
2016-Q4,construction,"clerical, sales and services workers",200
2016-Q4,construction,"production and transport operators, cleaners and labourers",900
2016-Q4,services,total,37300
2016-Q4,services,"professional, managers, executive and technicians",20100
2016-Q4,services,"clerical, sales and services workers",11200
2016-Q4,services,"production and transport operators, cleaners and labourers",6000
2016-Q4,others,total,400
2016-Q4,others,"professional, managers, executive and technicians",200
2016-Q4,others,"clerical, sales and services workers",-
2016-Q4,others,"production and transport operators, cleaners and labourers",200
2017-Q1,total,total,45300
2017-Q1,total,"professional, managers, executive and technicians",23700
2017-Q1,total,"clerical, sales and services workers",10900
2017-Q1,total,"production and transport operators, cleaners and labourers",10700
2017-Q1,manufacturing,total,6600
2017-Q1,manufacturing,"professional, managers, executive and technicians",2600
2017-Q1,manufacturing,"clerical, sales and services workers",400
2017-Q1,manufacturing,"production and transport operators, cleaners and labourers",3700
2017-Q1,construction,total,1400
2017-Q1,construction,"professional, managers, executive and technicians",500
2017-Q1,construction,"clerical, sales and services workers",100
2017-Q1,construction,"production and transport operators, cleaners and labourers",800
2017-Q1,services,total,36900
2017-Q1,services,"professional, managers, executive and technicians",20500
2017-Q1,services,"clerical, sales and services workers",10400
2017-Q1,services,"production and transport operators, cleaners and labourers",6100
2017-Q1,others,total,400
2017-Q1,others,"professional, managers, executive and technicians",200
2017-Q1,others,"clerical, sales and services workers",-
2017-Q1,others,"production and transport operators, cleaners and labourers",200
2017-Q2,total,total,50000
2017-Q2,total,"professional, managers, executive and technicians",27500
2017-Q2,total,"clerical, sales and services workers",11900
2017-Q2,total,"production and transport operators, cleaners and labourers",10500
2017-Q2,manufacturing,total,6200
2017-Q2,manufacturing,"professional, managers, executive and technicians",3300
2017-Q2,manufacturing,"clerical, sales and services workers",500
2017-Q2,manufacturing,"production and transport operators, cleaners and labourers",2500
2017-Q2,construction,total,1800
2017-Q2,construction,"professional, managers, executive and technicians",800
2017-Q2,construction,"clerical, sales and services workers",100
2017-Q2,construction,"production and transport operators, cleaners and labourers",800
2017-Q2,services,total,41400
2017-Q2,services,"professional, managers, executive and technicians",23100
2017-Q2,services,"clerical, sales and services workers",11300
2017-Q2,services,"production and transport operators, cleaners and labourers",7000
2017-Q2,others,total,500
2017-Q2,others,"professional, managers, executive and technicians",300
2017-Q2,others,"clerical, sales and services workers",-
2017-Q2,others,"production and transport operators, cleaners and labourers",200
2017-Q3,total,total,53100
2017-Q3,total,"professional, managers, executive and technicians",25800
2017-Q3,total,"clerical, sales and services workers",14600
2017-Q3,total,"production and transport operators, cleaners and labourers",12800
2017-Q3,manufacturing,total,7200
2017-Q3,manufacturing,"professional, managers, executive and technicians",2800
2017-Q3,manufacturing,"clerical, sales and services workers",500
2017-Q3,manufacturing,"production and transport operators, cleaners and labourers",3900
2017-Q3,construction,total,2000
2017-Q3,construction,"professional, managers, executive and technicians",700
2017-Q3,construction,"clerical, sales and services workers",100
2017-Q3,construction,"production and transport operators, cleaners and labourers",1100
2017-Q3,services,total,43500
2017-Q3,services,"professional, managers, executive and technicians",22100
2017-Q3,services,"clerical, sales and services workers",13900
2017-Q3,services,"production and transport operators, cleaners and labourers",7500
2017-Q3,others,total,400
2017-Q3,others,"professional, managers, executive and technicians",200
2017-Q3,others,"clerical, sales and services workers",-
2017-Q3,others,"production and transport operators, cleaners and labourers",200
2017-Q4,total,total,46600
2017-Q4,total,"professional, managers, executive and technicians",25700
2017-Q4,total,"clerical, sales and services workers",12000
2017-Q4,total,"production and transport operators, cleaners and labourers",9000
2017-Q4,manufacturing,total,6000
2017-Q4,manufacturing,"professional, managers, executive and technicians",3200
2017-Q4,manufacturing,"clerical, sales and services workers",600
2017-Q4,manufacturing,"production and transport operators, cleaners and labourers",2300
2017-Q4,construction,total,1600
2017-Q4,construction,"professional, managers, executive and technicians",600
2017-Q4,construction,"clerical, sales and services workers",100
2017-Q4,construction,"production and transport operators, cleaners and labourers",900
2017-Q4,services,total,38700
2017-Q4,services,"professional, managers, executive and technicians",21800
2017-Q4,services,"clerical, sales and services workers",11300
2017-Q4,services,"production and transport operators, cleaners and labourers",5700
2017-Q4,others,total,300
2017-Q4,others,"professional, managers, executive and technicians",100
2017-Q4,others,"clerical, sales and services workers",-
2017-Q4,others,"production and transport operators, cleaners and labourers",100
2018-Q1,total,total,52100
2018-Q1,total,"professional, managers, executive and technicians",29200
2018-Q1,total,"clerical, sales and services workers",11900
2018-Q1,total,"production and transport operators, cleaners and labourers",11100
2018-Q1,manufacturing,total,8100
2018-Q1,manufacturing,"professional, managers, executive and technicians",4500
2018-Q1,manufacturing,"clerical, sales and services workers",600
2018-Q1,manufacturing,"production and transport operators, cleaners and labourers",3000
2018-Q1,construction,total,1500
2018-Q1,construction,"professional, managers, executive and technicians",500
2018-Q1,construction,"clerical, sales and services workers",100
2018-Q1,construction,"production and transport operators, cleaners and labourers",900
2018-Q1,services,total,42200
2018-Q1,services,"professional, managers, executive and technicians",24000
2018-Q1,services,"clerical, sales and services workers",11200
2018-Q1,services,"production and transport operators, cleaners and labourers",7000
2018-Q1,others,total,300
2018-Q1,others,"professional, managers, executive and technicians",200
2018-Q1,others,"clerical, sales and services workers",-
2018-Q1,others,"production and transport operators, cleaners and labourers",100
2018-Q2,total,total,58300
2018-Q2,total,"professional, managers, executive and technicians",32700
2018-Q2,total,"clerical, sales and services workers",13700
2018-Q2,total,"production and transport operators, cleaners and labourers",11800
2018-Q2,manufacturing,total,8300
2018-Q2,manufacturing,"professional, managers, executive and technicians",4800
2018-Q2,manufacturing,"clerical, sales and services workers",600
2018-Q2,manufacturing,"production and transport operators, cleaners and labourers",2900
2018-Q2,construction,"professional, managers, executive and technicians",600
2018-Q2,construction,"clerical, sales and services workers",100
2018-Q2,construction,"production and transport operators, cleaners and labourers",1200
2018-Q2,services,total,47500
2018-Q2,services,"professional, managers, executive and technicians",27000
2018-Q2,services,"clerical, sales and services workers",13000
2018-Q2,services,"production and transport operators, cleaners and labourers",7500
2018-Q2,others,total,500
2018-Q2,others,"professional, managers, executive and technicians",300
2018-Q2,others,"clerical, sales and services workers",-
2018-Q2,others,"production and transport operators, cleaners and labourers",200
2018-Q3,total,total,63300
2018-Q3,total,"professional, managers, executive and technicians",33400
2018-Q3,total,"clerical, sales and services workers",14800
2018-Q3,total,"production and transport operators, cleaners and labourers",15200
2018-Q3,manufacturing,total,9200
2018-Q3,manufacturing,"professional, managers, executive and technicians",4300
2018-Q3,manufacturing,"clerical, sales and services workers",700
2018-Q3,manufacturing,"production and transport operators, cleaners and labourers",4100
2018-Q3,construction,total,4300
2018-Q3,construction,"professional, managers, executive and technicians",1200
2018-Q3,construction,"clerical, sales and services workers",300
2018-Q3,construction,"production and transport operators, cleaners and labourers",2900
2018-Q3,services,total,49400
2018-Q3,services,"professional, managers, executive and technicians",27600
2018-Q3,services,"clerical, sales and services workers",13700
2018-Q3,services,"production and transport operators, cleaners and labourers",8000
2018-Q3,others,total,400
2018-Q3,others,"professional, managers, executive and technicians",200
2018-Q3,others,"clerical, sales and services workers",-
2018-Q3,others,"production and transport operators, cleaners and labourers",200
2018-Q4,total,total,57800
2018-Q4,total,"professional, managers, executive and technicians",30600
2018-Q4,total,"clerical, sales and services workers",13900
2018-Q4,total,"production and transport operators, cleaners and labourers",13300
2018-Q4,manufacturing,total,7500
2018-Q4,manufacturing,"professional, managers, executive and technicians",4000
2018-Q4,manufacturing,"clerical, sales and services workers",700
2018-Q4,manufacturing,"production and transport operators, cleaners and labourers",2800
2018-Q4,construction,total,4400
2018-Q4,construction,"professional, managers, executive and technicians",1000
2018-Q4,construction,"clerical, sales and services workers",300
2018-Q4,construction,"production and transport operators, cleaners and labourers",3100
2018-Q4,services,total,45500
2018-Q4,services,"professional, managers, executive and technicians",25400
2018-Q4,services,"clerical, sales and services workers",12900
2018-Q4,services,"production and transport operators, cleaners and labourers",7200
2018-Q4,others,total,400
2018-Q4,others,"professional, managers, executive and technicians",200
2018-Q4,others,"clerical, sales and services workers",-
2018-Q4,others,"production and transport operators, cleaners and labourers",200
2019-Q1,total,total,54700
2019-Q1,total,"professional, managers, executive and technicians",31300
2019-Q1,total,"clerical, sales and services workers",12600
2019-Q1,total,"production and transport operators, cleaners and labourers",10900
2019-Q1,manufacturing,total,7200
2019-Q1,manufacturing,"professional, managers, executive and technicians",3900
2019-Q1,manufacturing,"clerical, sales and services workers",600
2019-Q1,manufacturing,"production and transport operators, cleaners and labourers",2700
2019-Q1,construction,total,3400
2019-Q1,construction,"professional, managers, executive and technicians",1000
2019-Q1,construction,"clerical, sales and services workers",300
2019-Q1,construction,"production and transport operators, cleaners and labourers",2100
2019-Q1,services,total,43700
2019-Q1,services,"professional, managers, executive and technicians",26200
2019-Q1,services,"clerical, sales and services workers",11700
2019-Q1,services,"production and transport operators, cleaners and labourers",5900
2019-Q1,others,total,400
2019-Q1,others,"professional, managers, executive and technicians",300
2019-Q1,others,"clerical, sales and services workers",-
2019-Q1,others,"production and transport operators, cleaners and labourers",100
2019-Q2,total,total,53900
2019-Q2,total,"professional, managers, executive and technicians",31600
2019-Q2,total,"clerical, sales and services workers",12400
2019-Q2,total,"production and transport operators, cleaners and labourers",9800
2019-Q2,manufacturing,total,6900
2019-Q2,manufacturing,"professional, managers, executive and technicians",3800
2019-Q2,manufacturing,"clerical, sales and services workers",600
2019-Q2,manufacturing,"production and transport operators, cleaners and labourers",2600
2019-Q2,construction,total,2200
2019-Q2,construction,"professional, managers, executive and technicians",700
2019-Q2,construction,"clerical, sales and services workers",200
2019-Q2,construction,"production and transport operators, cleaners and labourers",1300
2019-Q2,services,total,44300
2019-Q2,services,"professional, managers, executive and technicians",26800
2019-Q2,services,"clerical, sales and services workers",11600
2019-Q2,services,"production and transport operators, cleaners and labourers",5900
2019-Q2,others,total,400
2019-Q2,others,"professional, managers, executive and technicians",300
2019-Q2,others,"clerical, sales and services workers",-
2019-Q2,others,"production and transport operators, cleaners and labourers",100
2019-Q3,total,total,52900
2019-Q3,total,"professional, managers, executive and technicians",30900
2019-Q3,total,"clerical, sales and services workers",11800
2019-Q3,total,"production and transport operators, cleaners and labourers",10300
2019-Q3,manufacturing,total,6200
2019-Q3,manufacturing,"professional, managers, executive and technicians",3100
2019-Q3,manufacturing,"clerical, sales and services workers",500
2019-Q3,manufacturing,"production and transport operators, cleaners and labourers",2500
2019-Q3,construction,total,2300
2019-Q3,construction,"professional, managers, executive and technicians",1000
2019-Q3,construction,"clerical, sales and services workers",200
2019-Q3,construction,"production and transport operators, cleaners and labourers",1100
2019-Q3,services,total,44200
2019-Q3,services,"professional, managers, executive and technicians",26500
2019-Q3,services,"clerical, sales and services workers",11000
2019-Q3,services,"production and transport operators, cleaners and labourers",6600
2019-Q3,others,total,300
2019-Q3,others,"professional, managers, executive and technicians",200
2019-Q3,others,"clerical, sales and services workers",-
2019-Q3,others,"production and transport operators, cleaners and labourers",100
2019-Q4,total,total,50000
2019-Q4,total,"professional, managers, executive and technicians",29000
2019-Q4,total,"clerical, sales and services workers",11600
2019-Q4,total,"production and transport operators, cleaners and labourers",9400
2019-Q4,manufacturing,total,6000
2019-Q4,manufacturing,"professional, managers, executive and technicians",2900
2019-Q4,manufacturing,"clerical, sales and services workers",400
2019-Q4,manufacturing,"production and transport operators, cleaners and labourers",2700
2019-Q4,construction,total,1200
2019-Q4,construction,"professional, managers, executive and technicians",600
2019-Q4,construction,"clerical, sales and services workers",100
2019-Q4,construction,"production and transport operators, cleaners and labourers",600
2019-Q4,services,total,42400
2019-Q4,services,"professional, managers, executive and technicians",25200
