quarter,industry1,industry2,occupation1,job_vacancy
2011-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2011-Q1,manufacturing,"fabricated metal products, machinery and equipment",total,1700
2011-Q1,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",800
2011-Q1,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",100
2011-Q1,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",800
2011-Q1,manufacturing,"electronic, computer and optical products",total,2400
2011-Q1,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1600
2011-Q1,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",100
2011-Q1,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",700
2011-Q1,manufacturing,transport equipment,total,2900
2011-Q1,manufacturing,transport equipment,"professional, managers, executive and technicians",700
2011-Q1,manufacturing,transport equipment,"clerical, sales and services workers",100
2011-Q1,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",2000
2011-Q1,manufacturing,other manufacturing industries,total,800
2011-Q1,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",200
2011-Q1,manufacturing,other manufacturing industries,"clerical, sales and services workers",100
2011-Q1,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",500
2011-Q1,construction,construction,total,3700
2011-Q1,construction,construction,"professional, managers, executive and technicians",400
2011-Q1,construction,construction,"clerical, sales and services workers",200
2011-Q1,construction,construction,"production and transport operators, cleaners and labourers",3100
2011-Q1,services,wholesale and retail trade,total,4800
2011-Q1,services,wholesale and retail trade,"professional, managers, executive and technicians",2000
2011-Q1,services,wholesale and retail trade,"clerical, sales and services workers",2200
2011-Q1,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",600
2011-Q1,services,transportation and storage,total,2900
2011-Q1,services,transportation and storage,"professional, managers, executive and technicians",600
2011-Q1,services,transportation and storage,"clerical, sales and services workers",900
2011-Q1,services,transportation and storage,"production and transport operators, cleaners and labourers",1500
2011-Q1,services,accommodation and food services,total,3600
2011-Q1,services,accommodation and food services,"professional, managers, executive and technicians",400
2011-Q1,services,accommodation and food services,"clerical, sales and services workers",2600
2011-Q1,services,accommodation and food services,"production and transport operators, cleaners and labourers",600
2011-Q1,services,information and communications,total,1500
2011-Q1,services,information and communications,"professional, managers, executive and technicians",1400
2011-Q1,services,information and communications,"clerical, sales and services workers",100
2011-Q1,services,information and communications,"production and transport operators, cleaners and labourers",-
2011-Q1,services,financial and insurance services,total,3200
2011-Q1,services,financial and insurance services,"professional, managers, executive and technicians",2600
2011-Q1,services,financial and insurance services,"clerical, sales and services workers",600
2011-Q1,services,financial and insurance services,"production and transport operators, cleaners and labourers",-
2011-Q1,services,real estate services,"professional, managers, executive and technicians",700
2011-Q1,services,real estate services,"clerical, sales and services workers",200
2011-Q1,services,real estate services,"production and transport operators, cleaners and labourers",800
2011-Q1,services,professional services,total,2300
2011-Q1,services,professional services,"professional, managers, executive and technicians",1900
2011-Q1,services,professional services,"clerical, sales and services workers",300
2011-Q1,services,professional services,"production and transport operators, cleaners and labourers",200
2011-Q1,services,administrative and support services,total,4200
2011-Q1,services,administrative and support services,"professional, managers, executive and technicians",400
2011-Q1,services,administrative and support services,"clerical, sales and services workers",2300
2011-Q1,services,administrative and support services,"production and transport operators, cleaners and labourers",1500
2011-Q1,services,"community, social and personal services",total,11800
2011-Q1,services,"community, social and personal services","professional, managers, executive and technicians",8100
2011-Q1,services,"community, social and personal services","clerical, sales and services workers",2700
2011-Q1,services,"community, social and personal services","production and transport operators, cleaners and labourers",1000
2011-Q1,others,others,total,400
2011-Q1,others,others,"professional, managers, executive and technicians",300
2011-Q1,others,others,"clerical, sales and services workers",-
2011-Q1,others,others,"production and transport operators, cleaners and labourers",100
2011-Q2,total,total,total,55900
2011-Q2,total,total,"professional, managers, executive and technicians",25600
2011-Q2,total,total,"clerical, sales and services workers",15000
2011-Q2,total,total,"production and transport operators, cleaners and labourers",15300
2011-Q2,manufacturing,"food, beverages and tobacco",total,600
2011-Q2,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",100
2011-Q2,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",200
2011-Q2,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",300
2011-Q2,manufacturing,"paper,rubber,plastic products and printing",total,500
2011-Q2,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",200
2011-Q2,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",-
2011-Q2,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",300
2011-Q2,manufacturing,"petroleum, chemical and pharmaceutical products",total,500
2011-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",300
2011-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2011-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",200
2011-Q2,manufacturing,"fabricated metal products, machinery and equipment",total,2300
2011-Q2,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",800
2011-Q2,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",200
2011-Q2,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1300
2011-Q2,manufacturing,"electronic, computer and optical products",total,2700
2011-Q2,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1600
2011-Q2,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",300
2011-Q2,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",800
2011-Q2,manufacturing,transport equipment,total,3100
2011-Q2,manufacturing,transport equipment,"professional, managers, executive and technicians",800
2011-Q2,manufacturing,transport equipment,"clerical, sales and services workers",200
2011-Q2,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",2000
2011-Q2,manufacturing,other manufacturing industries,total,700
2011-Q2,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",100
2011-Q2,manufacturing,other manufacturing industries,"clerical, sales and services workers",100
2011-Q2,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",500
2011-Q2,construction,construction,total,3700
2011-Q2,construction,construction,"professional, managers, executive and technicians",600
2011-Q2,construction,construction,"clerical, sales and services workers",200
2011-Q2,construction,construction,"production and transport operators, cleaners and labourers",2900
2011-Q2,services,wholesale and retail trade,total,5000
2011-Q2,services,wholesale and retail trade,"professional, managers, executive and technicians",1700
2011-Q2,services,wholesale and retail trade,"clerical, sales and services workers",2300
2011-Q2,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1000
2011-Q2,services,transportation and storage,total,3800
2011-Q2,services,transportation and storage,"professional, managers, executive and technicians",800
2011-Q2,services,transportation and storage,"clerical, sales and services workers",1300
2011-Q2,services,transportation and storage,"production and transport operators, cleaners and labourers",1700
2011-Q2,services,accommodation and food services,total,4200
2011-Q2,services,accommodation and food services,"professional, managers, executive and technicians",400
2011-Q2,services,accommodation and food services,"clerical, sales and services workers",3000
2011-Q2,services,accommodation and food services,"production and transport operators, cleaners and labourers",700
2011-Q2,services,information and communications,total,1900
2011-Q2,services,information and communications,"professional, managers, executive and technicians",1700
2011-Q2,services,information and communications,"clerical, sales and services workers",200
2011-Q2,services,information and communications,"production and transport operators, cleaners and labourers",-
2011-Q2,services,financial and insurance services,total,3600
2011-Q2,services,financial and insurance services,"professional, managers, executive and technicians",3000
2011-Q2,services,financial and insurance services,"clerical, sales and services workers",600
2011-Q2,services,financial and insurance services,"production and transport operators, cleaners and labourers",-
2011-Q2,services,real estate services,total,1800
2011-Q2,services,real estate services,"professional, managers, executive and technicians",800
2011-Q2,services,real estate services,"clerical, sales and services workers",300
2011-Q2,services,real estate services,"production and transport operators, cleaners and labourers",700
2011-Q2,services,professional services,total,2500
2011-Q2,services,professional services,"professional, managers, executive and technicians",1900
2011-Q2,services,professional services,"clerical, sales and services workers",400
2011-Q2,services,professional services,"production and transport operators, cleaners and labourers",200
2011-Q2,services,administrative and support services,total,4400
2011-Q2,services,administrative and support services,"professional, managers, executive and technicians",300
2011-Q2,services,administrative and support services,"clerical, sales and services workers",2300
2011-Q2,services,administrative and support services,"production and transport operators, cleaners and labourers",1900
2011-Q2,services,"community, social and personal services",total,14100
2011-Q2,services,"community, social and personal services","professional, managers, executive and technicians",10200
2011-Q2,services,"community, social and personal services","clerical, sales and services workers",3300
2011-Q2,services,"community, social and personal services","production and transport operators, cleaners and labourers",600
2011-Q2,others,others,total,700
2011-Q2,others,others,"professional, managers, executive and technicians",400
2011-Q2,others,others,"clerical, sales and services workers",-
2011-Q2,others,others,"production and transport operators, cleaners and labourers",200
2011-Q3,total,total,total,54000
2011-Q3,total,total,"professional, managers, executive and technicians",22000
2011-Q3,total,total,"clerical, sales and services workers",15800
2011-Q3,total,total,"production and transport operators, cleaners and labourers",16100
2011-Q3,manufacturing,"food, beverages and tobacco",total,1000
2011-Q3,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",100
2011-Q3,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",300
2011-Q3,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",600
2011-Q3,manufacturing,"paper,rubber,plastic products and printing",total,600
2011-Q3,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",100
2011-Q3,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",100
2011-Q3,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",400
2011-Q3,manufacturing,"petroleum, chemical and pharmaceutical products",total,400
2011-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",300
2011-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2011-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2011-Q3,manufacturing,"fabricated metal products, machinery and equipment",total,2000
2011-Q3,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",700
2011-Q3,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",100
2011-Q3,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1100
2011-Q3,manufacturing,"electronic, computer and optical products",total,2400
2011-Q3,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",700
2011-Q3,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",-
2011-Q3,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",1600
2011-Q3,manufacturing,transport equipment,total,1300
2011-Q3,manufacturing,transport equipment,"professional, managers, executive and technicians",300
2011-Q3,manufacturing,transport equipment,"clerical, sales and services workers",-
2011-Q3,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",900
2011-Q3,manufacturing,other manufacturing industries,total,900
2011-Q3,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",200
2011-Q3,manufacturing,other manufacturing industries,"clerical, sales and services workers",100
2011-Q3,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",600
2011-Q3,construction,construction,total,3800
2011-Q3,construction,construction,"professional, managers, executive and technicians",900
2011-Q3,construction,construction,"clerical, sales and services workers",200
2011-Q3,construction,construction,"production and transport operators, cleaners and labourers",2600
2011-Q3,services,wholesale and retail trade,total,6400
2011-Q3,services,wholesale and retail trade,"professional, managers, executive and technicians",2100
2011-Q3,services,wholesale and retail trade,"clerical, sales and services workers",3400
2011-Q3,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",900
2011-Q3,services,transportation and storage,total,3500
2011-Q3,services,transportation and storage,"professional, managers, executive and technicians",800
2011-Q3,services,transportation and storage,"clerical, sales and services workers",1300
2011-Q3,services,transportation and storage,"production and transport operators, cleaners and labourers",1500
2011-Q3,services,accommodation and food services,total,5200
2011-Q3,services,accommodation and food services,"professional, managers, executive and technicians",300
2011-Q3,services,accommodation and food services,"clerical, sales and services workers",3700
2011-Q3,services,accommodation and food services,"production and transport operators, cleaners and labourers",1200
2011-Q3,services,information and communications,total,1900
2011-Q3,services,information and communications,"professional, managers, executive and technicians",1600
2011-Q3,services,information and communications,"clerical, sales and services workers",200
2011-Q3,services,information and communications,"production and transport operators, cleaners and labourers",-
2011-Q3,services,financial and insurance services,total,2200
2011-Q3,services,financial and insurance services,"professional, managers, executive and technicians",1800
2011-Q3,services,financial and insurance services,"clerical, sales and services workers",300
2011-Q3,services,financial and insurance services,"production and transport operators, cleaners and labourers",100
2011-Q3,services,real estate services,total,2400
2011-Q3,services,real estate services,"professional, managers, executive and technicians",600
2011-Q3,services,real estate services,"clerical, sales and services workers",300
2011-Q3,services,real estate services,"production and transport operators, cleaners and labourers",1500
2011-Q3,services,professional services,total,2700
2011-Q3,services,professional services,"professional, managers, executive and technicians",1900
2011-Q3,services,professional services,"clerical, sales and services workers",600
2011-Q3,services,professional services,"production and transport operators, cleaners and labourers",200
2011-Q3,services,administrative and support services,total,4900
2011-Q3,services,administrative and support services,"professional, managers, executive and technicians",400
2011-Q3,services,administrative and support services,"clerical, sales and services workers",2500
2011-Q3,services,administrative and support services,"production and transport operators, cleaners and labourers",2000
2011-Q3,services,"community, social and personal services",total,12000
2011-Q3,services,"community, social and personal services","professional, managers, executive and technicians",8700
2011-Q3,services,"community, social and personal services","clerical, sales and services workers",2600
2011-Q3,services,"community, social and personal services","production and transport operators, cleaners and labourers",700
2011-Q3,others,others,total,600
2011-Q3,others,others,"professional, managers, executive and technicians",400
2011-Q3,others,others,"clerical, sales and services workers",-
2011-Q3,others,others,"production and transport operators, cleaners and labourers",200
2011-Q4,total,total,total,51700
2011-Q4,total,total,"professional, managers, executive and technicians",21400
2011-Q4,total,total,"clerical, sales and services workers",16200
2011-Q4,total,total,"production and transport operators, cleaners and labourers",14100
2011-Q4,manufacturing,"food, beverages and tobacco",total,800
2011-Q4,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",100
2011-Q4,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",300
2011-Q4,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",400
2011-Q4,manufacturing,"paper,rubber,plastic products and printing",total,500
2011-Q4,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",200
2011-Q4,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",-
2011-Q4,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",300
2011-Q4,manufacturing,"petroleum, chemical and pharmaceutical products",total,400
2011-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",200
2011-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2011-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",100
2011-Q4,manufacturing,"fabricated metal products, machinery and equipment",total,2600
2011-Q4,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",900
2011-Q4,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",200
2011-Q4,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1500
2011-Q4,manufacturing,"electronic, computer and optical products",total,2000
2011-Q4,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1100
2011-Q4,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",100
2011-Q4,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",700
2011-Q4,manufacturing,transport equipment,total,1100
2011-Q4,manufacturing,transport equipment,"professional, managers, executive and technicians",500
2011-Q4,manufacturing,transport equipment,"clerical, sales and services workers",-
2011-Q4,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",600
2011-Q4,manufacturing,other manufacturing industries,total,500
2011-Q4,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",100
2011-Q4,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
2011-Q4,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",400
2011-Q4,construction,construction,total,3400
2011-Q4,construction,construction,"professional, managers, executive and technicians",600
2011-Q4,construction,construction,"clerical, sales and services workers",300
2011-Q4,construction,construction,"production and transport operators, cleaners and labourers",2600
2011-Q4,services,wholesale and retail trade,total,6600
2011-Q4,services,wholesale and retail trade,"professional, managers, executive and technicians",1600
2011-Q4,services,wholesale and retail trade,"clerical, sales and services workers",3300
2011-Q4,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",1600
2011-Q4,services,transportation and storage,total,3900
2011-Q4,services,transportation and storage,"professional, managers, executive and technicians",800
2011-Q4,services,transportation and storage,"clerical, sales and services workers",1600
2011-Q4,services,transportation and storage,"production and transport operators, cleaners and labourers",1600
2011-Q4,services,accommodation and food services,total,4400
2011-Q4,services,accommodation and food services,"professional, managers, executive and technicians",400
2011-Q4,services,accommodation and food services,"clerical, sales and services workers",3000
2011-Q4,services,accommodation and food services,"production and transport operators, cleaners and labourers",900
2011-Q4,services,information and communications,total,1700
2011-Q4,services,information and communications,"professional, managers, executive and technicians",1500
2011-Q4,services,information and communications,"clerical, sales and services workers",200
2011-Q4,services,information and communications,"production and transport operators, cleaners and labourers",-
2011-Q4,services,financial and insurance services,total,2300
2011-Q4,services,financial and insurance services,"professional, managers, executive and technicians",1900
2011-Q4,services,financial and insurance services,"clerical, sales and services workers",400
2011-Q4,services,financial and insurance services,"production and transport operators, cleaners and labourers",-
2011-Q4,services,real estate services,total,1800
2011-Q4,services,real estate services,"professional, managers, executive and technicians",500
2011-Q4,services,real estate services,"clerical, sales and services workers",200
2011-Q4,services,real estate services,"production and transport operators, cleaners and labourers",1100
2011-Q4,services,professional services,total,2500
2011-Q4,services,professional services,"professional, managers, executive and technicians",1700
2011-Q4,services,professional services,"clerical, sales and services workers",500
2011-Q4,services,professional services,"production and transport operators, cleaners and labourers",200
2011-Q4,services,administrative and support services,total,4200
2011-Q4,services,administrative and support services,"professional, managers, executive and technicians",300
2011-Q4,services,administrative and support services,"clerical, sales and services workers",2500
2011-Q4,services,administrative and support services,"production and transport operators, cleaners and labourers",1400
2011-Q4,services,"community, social and personal services",total,12600
2011-Q4,services,"community, social and personal services","professional, managers, executive and technicians",8600
2011-Q4,services,"community, social and personal services","clerical, sales and services workers",3300
2011-Q4,services,"community, social and personal services","production and transport operators, cleaners and labourers",700
2011-Q4,others,others,total,600
2011-Q4,others,others,"professional, managers, executive and technicians",500
2011-Q4,others,others,"clerical, sales and services workers",-
2011-Q4,others,others,"production and transport operators, cleaners and labourers",100
2012-Q1,total,total,total,46800
2012-Q1,total,total,"professional, managers, executive and technicians",20600
2012-Q1,total,total,"clerical, sales and services workers",13800
2012-Q1,total,total,"production and transport operators, cleaners and labourers",12400
2012-Q1,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",100
2012-Q1,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",100
2012-Q1,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",300
2012-Q1,manufacturing,"paper,rubber,plastic products and printing",total,600
2012-Q1,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",200
2012-Q1,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",100
2012-Q1,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",400
2012-Q1,manufacturing,"petroleum, chemical and pharmaceutical products",total,400
2012-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",200
2012-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",-
2012-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",200
2012-Q1,manufacturing,"fabricated metal products, machinery and equipment",total,2400
2012-Q1,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",800
2012-Q1,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",100
2012-Q1,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1500
2012-Q1,manufacturing,"electronic, computer and optical products",total,1900
2012-Q1,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1100
2012-Q1,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",100
2012-Q1,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",700
2012-Q1,manufacturing,transport equipment,total,1300
2012-Q1,manufacturing,transport equipment,"professional, managers, executive and technicians",600
2012-Q1,manufacturing,transport equipment,"clerical, sales and services workers",-
2012-Q1,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",700
2012-Q1,manufacturing,other manufacturing industries,total,600
2012-Q1,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",200
2012-Q1,manufacturing,other manufacturing industries,"clerical, sales and services workers",100
2012-Q1,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",400
2012-Q1,construction,construction,total,3300
2012-Q1,construction,construction,"professional, managers, executive and technicians",700
2012-Q1,construction,construction,"clerical, sales and services workers",100
2012-Q1,construction,construction,"production and transport operators, cleaners and labourers",2500
2012-Q1,services,wholesale and retail trade,total,5500
2012-Q1,services,wholesale and retail trade,"professional, managers, executive and technicians",1700
2012-Q1,services,wholesale and retail trade,"clerical, sales and services workers",3000
2012-Q1,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",800
2012-Q1,services,transportation and storage,total,3500
2012-Q1,services,transportation and storage,"professional, managers, executive and technicians",800
2012-Q1,services,transportation and storage,"clerical, sales and services workers",1300
2012-Q1,services,transportation and storage,"production and transport operators, cleaners and labourers",1400
2012-Q1,services,accommodation and food services,total,4200
2012-Q1,services,accommodation and food services,"professional, managers, executive and technicians",500
2012-Q1,services,accommodation and food services,"clerical, sales and services workers",3000
2012-Q1,services,accommodation and food services,"production and transport operators, cleaners and labourers",600
2012-Q1,services,information and communications,total,1300
2012-Q1,services,information and communications,"professional, managers, executive and technicians",1100
2012-Q1,services,information and communications,"clerical, sales and services workers",200
2012-Q1,services,information and communications,"production and transport operators, cleaners and labourers",-
2012-Q1,services,financial and insurance services,total,2700
2012-Q1,services,financial and insurance services,"professional, managers, executive and technicians",2000
2012-Q1,services,financial and insurance services,"clerical, sales and services workers",500
2012-Q1,services,financial and insurance services,"production and transport operators, cleaners and labourers",100
2012-Q1,services,real estate services,total,1400
2012-Q1,services,real estate services,"professional, managers, executive and technicians",400
2012-Q1,services,real estate services,"clerical, sales and services workers",300
2012-Q1,services,real estate services,"production and transport operators, cleaners and labourers",700
2012-Q1,services,professional services,total,2300
2012-Q1,services,professional services,"professional, managers, executive and technicians",1700
2012-Q1,services,professional services,"clerical, sales and services workers",400
2012-Q1,services,professional services,"production and transport operators, cleaners and labourers",100
2012-Q1,services,administrative and support services,total,3300
2012-Q1,services,administrative and support services,"professional, managers, executive and technicians",400
2012-Q1,services,administrative and support services,"clerical, sales and services workers",1700
2012-Q1,services,administrative and support services,"production and transport operators, cleaners and labourers",1300
2012-Q1,services,"community, social and personal services",total,11000
2012-Q1,services,"community, social and personal services","professional, managers, executive and technicians",7800
2012-Q1,services,"community, social and personal services","clerical, sales and services workers",2600
2012-Q1,services,"community, social and personal services","production and transport operators, cleaners and labourers",700
2012-Q1,others,others,total,500
2012-Q1,others,others,"professional, managers, executive and technicians",400
2012-Q1,others,others,"clerical, sales and services workers",-
2012-Q1,others,others,"production and transport operators, cleaners and labourers",100
2012-Q2,total,total,total,47300
2012-Q2,total,total,"professional, managers, executive and technicians",20000
2012-Q2,total,total,"clerical, sales and services workers",13300
2012-Q2,total,total,"production and transport operators, cleaners and labourers",14000
2012-Q2,manufacturing,"food, beverages and tobacco",total,400
2012-Q2,manufacturing,"food, beverages and tobacco","professional, managers, executive and technicians",100
2012-Q2,manufacturing,"food, beverages and tobacco","clerical, sales and services workers",100
2012-Q2,manufacturing,"food, beverages and tobacco","production and transport operators, cleaners and labourers",200
2012-Q2,manufacturing,"paper,rubber,plastic products and printing",total,400
2012-Q2,manufacturing,"paper,rubber,plastic products and printing","professional, managers, executive and technicians",100
2012-Q2,manufacturing,"paper,rubber,plastic products and printing","clerical, sales and services workers",100
2012-Q2,manufacturing,"paper,rubber,plastic products and printing","production and transport operators, cleaners and labourers",200
2012-Q2,manufacturing,"petroleum, chemical and pharmaceutical products",total,500
2012-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","professional, managers, executive and technicians",200
2012-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","clerical, sales and services workers",100
2012-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","production and transport operators, cleaners and labourers",200
2012-Q2,manufacturing,"fabricated metal products, machinery and equipment",total,2600
2012-Q2,manufacturing,"fabricated metal products, machinery and equipment","professional, managers, executive and technicians",900
2012-Q2,manufacturing,"fabricated metal products, machinery and equipment","clerical, sales and services workers",100
2012-Q2,manufacturing,"fabricated metal products, machinery and equipment","production and transport operators, cleaners and labourers",1600
2012-Q2,manufacturing,"electronic, computer and optical products",total,2000
2012-Q2,manufacturing,"electronic, computer and optical products","professional, managers, executive and technicians",1100
2012-Q2,manufacturing,"electronic, computer and optical products","clerical, sales and services workers",100
2012-Q2,manufacturing,"electronic, computer and optical products","production and transport operators, cleaners and labourers",800
2012-Q2,manufacturing,transport equipment,total,1300
2012-Q2,manufacturing,transport equipment,"professional, managers, executive and technicians",500
2012-Q2,manufacturing,transport equipment,"clerical, sales and services workers",-
2012-Q2,manufacturing,transport equipment,"production and transport operators, cleaners and labourers",800
2012-Q2,manufacturing,other manufacturing industries,total,500
2012-Q2,manufacturing,other manufacturing industries,"professional, managers, executive and technicians",200
2012-Q2,manufacturing,other manufacturing industries,"clerical, sales and services workers",-
2012-Q2,manufacturing,other manufacturing industries,"production and transport operators, cleaners and labourers",400
2012-Q2,construction,construction,total,3400
2012-Q2,construction,construction,"professional, managers, executive and technicians",700
2012-Q2,construction,construction,"clerical, sales and services workers",200
2012-Q2,construction,construction,"production and transport operators, cleaners and labourers",2400
2012-Q2,services,wholesale and retail trade,total,5400
2012-Q2,services,wholesale and retail trade,"professional, managers, executive and technicians",1700
2012-Q2,services,wholesale and retail trade,"clerical, sales and services workers",3000
2012-Q2,services,wholesale and retail trade,"production and transport operators, cleaners and labourers",800
2012-Q2,services,transportation and storage,total,3600
2012-Q2,services,transportation and storage,"professional, managers, executive and technicians",700
2012-Q2,services,transportation and storage,"clerical, sales and services workers",1200
2012-Q2,services,transportation and storage,"production and transport operators, cleaners and labourers",1700
2012-Q2,services,accommodation and food services,total,3400
2012-Q2,services,accommodation and food services,"professional, managers, executive and technicians",500
2012-Q2,services,accommodation and food services,"clerical, sales and services workers",2400
2012-Q2,services,accommodation and food services,"production and transport operators, cleaners and labourers",600
2012-Q2,services,information and communications,total,1500
2012-Q2,services,information and communications,"professional, managers, executive and technicians",1300
2012-Q2,services,information and communications,"clerical, sales and services workers",200
2012-Q2,services,information and communications,"production and transport operators, cleaners and labourers",-
2012-Q2,services,financial and insurance services,"professional, managers, executive and technicians",2100
2012-Q2,services,financial and insurance services,"clerical, sales and services workers",400
2012-Q2,services,financial and insurance services,"production and transport operators, cleaners and labourers",-
2012-Q2,services,real estate services,total,2400
2012-Q2,services,real estate services,"professional, managers, executive and technicians",500
2012-Q2,services,real estate services,"clerical, sales and services workers",400
2012-Q2,services,real estate services,"production and transport operators, cleaners and labourers",1500
2012-Q2,services,professional services,total,2400
2012-Q2,services,professional services,"professional, managers, executive and technicians",1600
2012-Q2,services,professional services,"clerical, sales and services workers",500
2012-Q2,services,professional services,"production and transport operators, cleaners and labourers",400
2012-Q2,services,administrative and support services,total,3300
2012-Q2,services,administrative and support services,"professional, managers, executive and technicians",300
2012-Q2,services,administrative and support services,"clerical, sales and services workers",1700
2012-Q2,services,administrative and support services,"production and transport operators, cleaners and labourers",1300
