quarter,industry1,occupation1,resignation_rate
2011-Q4,services,"production and transport operators, cleaners and labourers",2.5
2011-Q4,others,total,1.3
2011-Q4,others,"professional, managers, executive and technicians",0.4
2011-Q4,others,"clerical, sales and services workers",1.1
2011-Q4,others,"production and transport operators, cleaners and labourers",2.6
2012-Q1,total,total,2.1
2012-Q1,total,"professional, managers, executive and technicians",1.3
2012-Q1,total,"clerical, sales and services workers",3.3
2012-Q1,total,"production and transport operators, cleaners and labourers",2.4
2012-Q1,manufacturing,total,1.7
2012-Q1,manufacturing,"professional, managers, executive and technicians",1.3
2012-Q1,manufacturing,"clerical, sales and services workers",2.2
2012-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.9
2012-Q1,construction,total,1.9
2012-Q1,construction,"professional, managers, executive and technicians",2.1
2012-Q1,construction,"clerical, sales and services workers",2.3
2012-Q1,construction,"production and transport operators, cleaners and labourers",1.8
2012-Q1,services,total,2.4
2012-Q1,services,"professional, managers, executive and technicians",1.3
2012-Q1,services,"clerical, sales and services workers",3.4
2012-Q1,services,"production and transport operators, cleaners and labourers",3.3
2012-Q1,others,total,1.6
2012-Q1,others,"professional, managers, executive and technicians",0.6
2012-Q1,others,"clerical, sales and services workers",1.5
2012-Q1,others,"production and transport operators, cleaners and labourers",2.5
2012-Q2,total,total,2.2
2012-Q2,total,"professional, managers, executive and technicians",1.4
2012-Q2,total,"clerical, sales and services workers",3.4
2012-Q2,total,"production and transport operators, cleaners and labourers",2.4
2012-Q2,manufacturing,total,1.8
2012-Q2,manufacturing,"professional, managers, executive and technicians",1.4
2012-Q2,manufacturing,"clerical, sales and services workers",2.3
2012-Q2,manufacturing,"production and transport operators, cleaners and labourers",2
2012-Q2,construction,total,2
2012-Q2,construction,"professional, managers, executive and technicians",2.2
2012-Q2,construction,"clerical, sales and services workers",3
2012-Q2,construction,"production and transport operators, cleaners and labourers",1.8
2012-Q2,services,total,2.4
2012-Q2,services,"professional, managers, executive and technicians",1.4
2012-Q2,services,"clerical, sales and services workers",3.5
2012-Q2,services,"production and transport operators, cleaners and labourers",3.4
2012-Q2,others,total,2
2012-Q2,others,"professional, managers, executive and technicians",0.7
2012-Q2,others,"clerical, sales and services workers",1.3
2012-Q2,others,"production and transport operators, cleaners and labourers",3.5
2012-Q3,total,total,2.1
2012-Q3,total,"professional, managers, executive and technicians",1.4
2012-Q3,total,"clerical, sales and services workers",3.2
2012-Q3,total,"production and transport operators, cleaners and labourers",2.1
2012-Q3,manufacturing,total,1.6
2012-Q3,manufacturing,"professional, managers, executive and technicians",1.3
2012-Q3,manufacturing,"clerical, sales and services workers",2.1
2012-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2012-Q3,construction,total,1.8
2012-Q3,construction,"professional, managers, executive and technicians",2.1
2012-Q3,construction,"clerical, sales and services workers",2.4
2012-Q3,construction,"production and transport operators, cleaners and labourers",1.6
2012-Q3,services,total,2.3
2012-Q3,services,"professional, managers, executive and technicians",1.4
2012-Q3,services,"clerical, sales and services workers",3.3
2012-Q3,services,"production and transport operators, cleaners and labourers",3
2012-Q3,others,total,1.7
2012-Q3,others,"professional, managers, executive and technicians",0.8
2012-Q3,others,"clerical, sales and services workers",1.8
2012-Q3,others,"production and transport operators, cleaners and labourers",2.5
2012-Q4,total,total,1.8
2012-Q4,total,"professional, managers, executive and technicians",1.1
2012-Q4,total,"clerical, sales and services workers",2.7
2012-Q4,total,"production and transport operators, cleaners and labourers",2
2012-Q4,manufacturing,total,1.2
2012-Q4,manufacturing,"professional, managers, executive and technicians",0.8
2012-Q4,manufacturing,"clerical, sales and services workers",1.7
2012-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.3
2012-Q4,construction,total,1.8
2012-Q4,construction,"professional, managers, executive and technicians",1.8
2012-Q4,construction,"clerical, sales and services workers",2
2012-Q4,construction,"production and transport operators, cleaners and labourers",1.7
2012-Q4,services,total,2
2012-Q4,services,"professional, managers, executive and technicians",1.1
2012-Q4,services,"clerical, sales and services workers",2.8
2012-Q4,services,"production and transport operators, cleaners and labourers",2.7
2012-Q4,others,total,1.4
2012-Q4,others,"professional, managers, executive and technicians",0.4
2012-Q4,others,"clerical, sales and services workers",1.4
2012-Q4,others,"production and transport operators, cleaners and labourers",2.3
2013-Q1,total,total,2.1
2013-Q1,total,"professional, managers, executive and technicians",1.3
2013-Q1,total,"clerical, sales and services workers",3.4
2013-Q1,total,"production and transport operators, cleaners and labourers",2.3
2013-Q1,manufacturing,total,1.6
2013-Q1,manufacturing,"professional, managers, executive and technicians",1
2013-Q1,manufacturing,"clerical, sales and services workers",1.9
2013-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.9
2013-Q1,construction,total,2.1
2013-Q1,construction,"professional, managers, executive and technicians",1.8
2013-Q1,construction,"clerical, sales and services workers",3
2013-Q1,construction,"production and transport operators, cleaners and labourers",2.1
2013-Q1,services,total,2.3
2013-Q1,services,"professional, managers, executive and technicians",1.3
2013-Q1,services,"clerical, sales and services workers",3.6
2013-Q1,services,"production and transport operators, cleaners and labourers",2.9
2013-Q1,others,total,1.8
2013-Q1,others,"professional, managers, executive and technicians",0.6
2013-Q1,others,"clerical, sales and services workers",0.9
2013-Q1,others,"production and transport operators, cleaners and labourers",3.2
2013-Q2,total,total,2.2
2013-Q2,total,"professional, managers, executive and technicians",1.4
2013-Q2,total,"clerical, sales and services workers",3.3
2013-Q2,total,"production and transport operators, cleaners and labourers",2.4
2013-Q2,manufacturing,total,1.6
2013-Q2,manufacturing,"professional, managers, executive and technicians",1.2
2013-Q2,manufacturing,"clerical, sales and services workers",2.2
2013-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.8
2013-Q2,construction,total,2.2
2013-Q2,construction,"professional, managers, executive and technicians",2.1
2013-Q2,construction,"clerical, sales and services workers",2.3
2013-Q2,construction,"production and transport operators, cleaners and labourers",2.1
2013-Q2,services,total,2.4
2013-Q2,services,"professional, managers, executive and technicians",1.5
2013-Q2,services,"clerical, sales and services workers",3.4
2013-Q2,services,"production and transport operators, cleaners and labourers",3.2
2013-Q2,others,total,1.9
2013-Q2,others,"professional, managers, executive and technicians",0.8
2013-Q2,others,"clerical, sales and services workers",1.2
2013-Q2,others,"production and transport operators, cleaners and labourers",3.2
2013-Q3,total,total,2
2013-Q3,total,"professional, managers, executive and technicians",1.5
2013-Q3,total,"clerical, sales and services workers",3
2013-Q3,total,"production and transport operators, cleaners and labourers",2.1
2013-Q3,manufacturing,total,1.6
2013-Q3,manufacturing,"professional, managers, executive and technicians",1.2
2013-Q3,manufacturing,"clerical, sales and services workers",2.4
2013-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2013-Q3,construction,total,1.7
2013-Q3,construction,"professional, managers, executive and technicians",2
2013-Q3,construction,"clerical, sales and services workers",2.1
2013-Q3,construction,"production and transport operators, cleaners and labourers",1.6
2013-Q3,services,total,2.2
2013-Q3,services,"professional, managers, executive and technicians",1.5
2013-Q3,services,"clerical, sales and services workers",3.1
2013-Q3,services,"production and transport operators, cleaners and labourers",2.9
2013-Q3,others,total,1.6
2013-Q3,others,"professional, managers, executive and technicians",0.7
2013-Q3,others,"clerical, sales and services workers",1.9
2013-Q3,others,"production and transport operators, cleaners and labourers",2.6
2013-Q4,total,total,1.7
2013-Q4,total,"professional, managers, executive and technicians",1.1
2013-Q4,total,"clerical, sales and services workers",2.7
2013-Q4,total,"production and transport operators, cleaners and labourers",2
2013-Q4,manufacturing,total,1.2
2013-Q4,manufacturing,"professional, managers, executive and technicians",0.8
2013-Q4,manufacturing,"clerical, sales and services workers",1.9
2013-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.3
2013-Q4,construction,total,1.9
2013-Q4,construction,"professional, managers, executive and technicians",1.6
2013-Q4,construction,"clerical, sales and services workers",1.8
2013-Q4,construction,"production and transport operators, cleaners and labourers",2
2013-Q4,services,total,1.9
2013-Q4,services,"professional, managers, executive and technicians",1.1
2013-Q4,services,"clerical, sales and services workers",2.8
2013-Q4,services,"production and transport operators, cleaners and labourers",2.6
2013-Q4,others,total,0.8
2013-Q4,others,"professional, managers, executive and technicians",0.5
2013-Q4,others,"clerical, sales and services workers",1
2013-Q4,others,"production and transport operators, cleaners and labourers",1.1
2014-Q1,total,total,2.1
2014-Q1,total,"professional, managers, executive and technicians",1.3
2014-Q1,total,"clerical, sales and services workers",3.4
2014-Q1,total,"production and transport operators, cleaners and labourers",2.4
2014-Q1,manufacturing,total,1.6
2014-Q1,manufacturing,"professional, managers, executive and technicians",1
2014-Q1,manufacturing,"clerical, sales and services workers",2.2
2014-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.8
2014-Q1,construction,total,2
2014-Q1,construction,"professional, managers, executive and technicians",2
2014-Q1,construction,"clerical, sales and services workers",2.6
2014-Q1,construction,"production and transport operators, cleaners and labourers",2
2014-Q1,services,total,2.3
2014-Q1,services,"professional, managers, executive and technicians",1.3
2014-Q1,services,"clerical, sales and services workers",3.5
2014-Q1,services,"production and transport operators, cleaners and labourers",3.1
2014-Q1,others,total,1.9
2014-Q1,others,"professional, managers, executive and technicians",0.4
2014-Q1,others,"clerical, sales and services workers",1.3
2014-Q1,others,"production and transport operators, cleaners and labourers",4.1
2014-Q2,total,total,2.2
2014-Q2,total,"professional, managers, executive and technicians",1.5
2014-Q2,total,"clerical, sales and services workers",3.5
2014-Q2,total,"production and transport operators, cleaners and labourers",2.5
2014-Q2,manufacturing,total,1.7
2014-Q2,manufacturing,"professional, managers, executive and technicians",1.3
2014-Q2,manufacturing,"clerical, sales and services workers",2.5
2014-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.9
2014-Q2,construction,total,2.1
2014-Q2,construction,"professional, managers, executive and technicians",2.2
2014-Q2,construction,"clerical, sales and services workers",2.8
2014-Q2,construction,"production and transport operators, cleaners and labourers",2
2014-Q2,services,total,2.4
2014-Q2,services,"professional, managers, executive and technicians",1.4
2014-Q2,services,"clerical, sales and services workers",3.6
2014-Q2,services,"production and transport operators, cleaners and labourers",3.5
2014-Q2,others,total,1.5
2014-Q2,others,"professional, managers, executive and technicians",0.6
2014-Q2,others,"clerical, sales and services workers",1.4
2014-Q2,others,"production and transport operators, cleaners and labourers",2.7
2014-Q3,total,total,2.1
2014-Q3,total,"professional, managers, executive and technicians",1.5
2014-Q3,total,"clerical, sales and services workers",3.2
2014-Q3,total,"production and transport operators, cleaners and labourers",2.2
2014-Q3,manufacturing,total,1.6
2014-Q3,manufacturing,"professional, managers, executive and technicians",1.2
2014-Q3,manufacturing,"clerical, sales and services workers",3.6
2014-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2014-Q3,construction,total,1.8
2014-Q3,construction,"professional, managers, executive and technicians",1.9
2014-Q3,construction,"clerical, sales and services workers",2.3
2014-Q3,construction,"production and transport operators, cleaners and labourers",1.8
2014-Q3,services,total,2.3
2014-Q3,services,"professional, managers, executive and technicians",1.5
2014-Q3,services,"clerical, sales and services workers",3.2
2014-Q3,services,"production and transport operators, cleaners and labourers",3.1
2014-Q3,others,total,1.5
2014-Q3,others,"professional, managers, executive and technicians",0.7
2014-Q3,others,"clerical, sales and services workers",2
2014-Q3,others,"production and transport operators, cleaners and labourers",2.6
2014-Q4,total,total,1.7
2014-Q4,total,"professional, managers, executive and technicians",1.1
2014-Q4,total,"clerical, sales and services workers",2.6
2014-Q4,total,"production and transport operators, cleaners and labourers",1.9
2014-Q4,manufacturing,total,1.3
2014-Q4,manufacturing,"professional, managers, executive and technicians",0.9
2014-Q4,manufacturing,"clerical, sales and services workers",1.8
2014-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.4
2014-Q4,construction,total,1.6
2014-Q4,construction,"professional, managers, executive and technicians",1.7
2014-Q4,construction,"clerical, sales and services workers",1.9
2014-Q4,construction,"production and transport operators, cleaners and labourers",1.6
2014-Q4,services,total,1.8
2014-Q4,services,"professional, managers, executive and technicians",1.2
2014-Q4,services,"clerical, sales and services workers",2.7
2014-Q4,services,"production and transport operators, cleaners and labourers",2.6
2014-Q4,others,total,1.3
2014-Q4,others,"professional, managers, executive and technicians",0.5
2014-Q4,others,"clerical, sales and services workers",0.8
2014-Q4,others,"production and transport operators, cleaners and labourers",2.5
2015-Q1,total,total,1.9
2015-Q1,total,"professional, managers, executive and technicians",1.2
2015-Q1,total,"clerical, sales and services workers",3
2015-Q1,total,"production and transport operators, cleaners and labourers",2.2
2015-Q1,manufacturing,total,1.6
2015-Q1,manufacturing,"professional, managers, executive and technicians",1
2015-Q1,manufacturing,"clerical, sales and services workers",2.2
2015-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.9
2015-Q1,construction,total,1.8
2015-Q1,construction,"professional, managers, executive and technicians",1.7
2015-Q1,construction,"clerical, sales and services workers",2.4
2015-Q1,construction,"production and transport operators, cleaners and labourers",1.8
2015-Q1,services,total,2
2015-Q1,services,"professional, managers, executive and technicians",1.2
2015-Q1,services,"clerical, sales and services workers",3.1
2015-Q1,services,"production and transport operators, cleaners and labourers",2.8
2015-Q1,others,total,1.4
2015-Q1,others,"professional, managers, executive and technicians",0.4
2015-Q1,others,"clerical, sales and services workers",1.4
2015-Q1,others,"production and transport operators, cleaners and labourers",2.8
2015-Q2,total,total,2.1
2015-Q2,total,"professional, managers, executive and technicians",1.4
2015-Q2,total,"clerical, sales and services workers",3.2
2015-Q2,total,"production and transport operators, cleaners and labourers",2.4
2015-Q2,manufacturing,total,1.7
2015-Q2,manufacturing,"professional, managers, executive and technicians",1.3
2015-Q2,manufacturing,"clerical, sales and services workers",2.6
2015-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.9
2015-Q2,construction,total,2.1
2015-Q2,construction,"professional, managers, executive and technicians",2.2
2015-Q2,construction,"clerical, sales and services workers",2.7
2015-Q2,construction,"production and transport operators, cleaners and labourers",2
2015-Q2,services,total,2.2
2015-Q2,services,"professional, managers, executive and technicians",1.4
2015-Q2,services,"clerical, sales and services workers",3.3
2015-Q2,services,"production and transport operators, cleaners and labourers",3
2015-Q2,others,total,1.4
2015-Q2,others,"professional, managers, executive and technicians",0.5
2015-Q2,others,"clerical, sales and services workers",1.3
2015-Q2,others,"production and transport operators, cleaners and labourers",2.6
2015-Q3,total,total,1.9
2015-Q3,total,"professional, managers, executive and technicians",1.4
2015-Q3,total,"clerical, sales and services workers",2.6
2015-Q3,total,"production and transport operators, cleaners and labourers",2
2015-Q3,manufacturing,total,1.5
2015-Q3,manufacturing,"professional, managers, executive and technicians",1.2
2015-Q3,manufacturing,"clerical, sales and services workers",2.1
2015-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.6
2015-Q3,construction,total,1.7
2015-Q3,construction,"professional, managers, executive and technicians",1.9
2015-Q3,construction,"clerical, sales and services workers",1.7
2015-Q3,construction,"production and transport operators, cleaners and labourers",1.7
2015-Q3,services,total,2
2015-Q3,services,"professional, managers, executive and technicians",1.4
2015-Q3,services,"clerical, sales and services workers",2.7
2015-Q3,services,"production and transport operators, cleaners and labourers",2.6
2015-Q3,others,total,1.4
2015-Q3,others,"professional, managers, executive and technicians",0.6
2015-Q3,others,"clerical, sales and services workers",2.1
2015-Q3,others,"production and transport operators, cleaners and labourers",2.6
2015-Q4,total,total,1.7
2015-Q4,total,"professional, managers, executive and technicians",1.1
2015-Q4,total,"clerical, sales and services workers",2.5
2015-Q4,total,"production and transport operators, cleaners and labourers",1.9
2015-Q4,manufacturing,total,1.1
2015-Q4,manufacturing,"professional, managers, executive and technicians",0.8
2015-Q4,manufacturing,"clerical, sales and services workers",1.6
2015-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.3
2015-Q4,construction,total,1.7
2015-Q4,construction,"professional, managers, executive and technicians",1.4
2015-Q4,construction,"clerical, sales and services workers",1.7
2015-Q4,construction,"production and transport operators, cleaners and labourers",1.7
2015-Q4,services,total,1.8
2015-Q4,services,"professional, managers, executive and technicians",1.1
2015-Q4,services,"clerical, sales and services workers",2.6
2015-Q4,services,"production and transport operators, cleaners and labourers",2.5
2015-Q4,others,total,1.3
2015-Q4,others,"professional, managers, executive and technicians",0.5
2015-Q4,others,"clerical, sales and services workers",1.7
2015-Q4,others,"production and transport operators, cleaners and labourers",2.5
2016-Q1,total,total,1.8
2016-Q1,total,"professional, managers, executive and technicians",1.2
2016-Q1,total,"clerical, sales and services workers",2.9
2016-Q1,total,"production and transport operators, cleaners and labourers",2.1
2016-Q1,manufacturing,total,1.5
2016-Q1,manufacturing,"professional, managers, executive and technicians",1
2016-Q1,manufacturing,"clerical, sales and services workers",2
2016-Q1,manufacturing,"production and transport operators, cleaners and labourers",1.9
2016-Q1,construction,total,1.6
2016-Q1,construction,"professional, managers, executive and technicians",1.7
2016-Q1,construction,"clerical, sales and services workers",1.6
2016-Q1,construction,"production and transport operators, cleaners and labourers",1.5
2016-Q1,services,total,2
2016-Q1,services,"professional, managers, executive and technicians",1.2
2016-Q1,services,"clerical, sales and services workers",3
2016-Q1,services,"production and transport operators, cleaners and labourers",2.8
2016-Q1,others,total,1.3
2016-Q1,others,"professional, managers, executive and technicians",0.5
2016-Q1,others,"clerical, sales and services workers",1.4
2016-Q1,others,"production and transport operators, cleaners and labourers",2.7
2016-Q2,total,total,2
2016-Q2,total,"professional, managers, executive and technicians",1.3
2016-Q2,total,"clerical, sales and services workers",2.9
2016-Q2,total,"production and transport operators, cleaners and labourers",2.3
2016-Q2,manufacturing,total,1.6
2016-Q2,manufacturing,"professional, managers, executive and technicians",1.1
2016-Q2,manufacturing,"clerical, sales and services workers",2.3
2016-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.9
2016-Q2,construction,total,1.8
2016-Q2,construction,"professional, managers, executive and technicians",1.8
2016-Q2,construction,"clerical, sales and services workers",1.6
2016-Q2,construction,"production and transport operators, cleaners and labourers",1.8
2016-Q2,services,total,2.1
2016-Q2,services,"professional, managers, executive and technicians",1.4
2016-Q2,services,"clerical, sales and services workers",3.1
2016-Q2,services,"production and transport operators, cleaners and labourers",3.1
2016-Q2,others,total,1.4
2016-Q2,others,"professional, managers, executive and technicians",0.5
2016-Q2,others,"clerical, sales and services workers",2.5
2016-Q2,others,"production and transport operators, cleaners and labourers",2.8
2016-Q3,total,total,1.8
2016-Q3,total,"professional, managers, executive and technicians",1.2
2016-Q3,total,"clerical, sales and services workers",2.6
2016-Q3,total,"production and transport operators, cleaners and labourers",2.1
2016-Q3,manufacturing,total,1.5
2016-Q3,manufacturing,"professional, managers, executive and technicians",1
2016-Q3,manufacturing,"clerical, sales and services workers",2.5
2016-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.7
2016-Q3,construction,total,1.6
2016-Q3,construction,"professional, managers, executive and technicians",1.6
2016-Q3,construction,"clerical, sales and services workers",1.6
2016-Q3,construction,"production and transport operators, cleaners and labourers",1.6
2016-Q3,services,total,1.9
2016-Q3,services,"professional, managers, executive and technicians",1.2
2016-Q3,services,"clerical, sales and services workers",2.7
2016-Q3,services,"production and transport operators, cleaners and labourers",2.8
2016-Q3,others,total,1.1
2016-Q3,others,"professional, managers, executive and technicians",0.5
2016-Q3,others,"clerical, sales and services workers",2.1
2016-Q3,others,"production and transport operators, cleaners and labourers",2
2016-Q4,total,total,1.6
2016-Q4,total,"professional, managers, executive and technicians",1
2016-Q4,total,"clerical, sales and services workers",2.3
2016-Q4,total,"production and transport operators, cleaners and labourers",1.9
2016-Q4,manufacturing,total,1.2
2016-Q4,manufacturing,"professional, managers, executive and technicians",0.8
2016-Q4,manufacturing,"clerical, sales and services workers",1.8
2016-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.4
2016-Q4,construction,total,1.7
2016-Q4,construction,"professional, managers, executive and technicians",1.4
2016-Q4,construction,"clerical, sales and services workers",1.5
2016-Q4,construction,"production and transport operators, cleaners and labourers",1.7
2016-Q4,services,total,1.7
2016-Q4,services,"professional, managers, executive and technicians",1
2016-Q4,services,"clerical, sales and services workers",2.4
2016-Q4,services,"production and transport operators, cleaners and labourers",2.5
2016-Q4,others,total,1.1
2016-Q4,others,"professional, managers, executive and technicians",0.4
2016-Q4,others,"clerical, sales and services workers",0.5
2016-Q4,others,"production and transport operators, cleaners and labourers",2.2
2017-Q1,total,total,1.8
2017-Q1,total,"professional, managers, executive and technicians",1.1
2017-Q1,total,"clerical, sales and services workers",2.7
2017-Q1,total,"production and transport operators, cleaners and labourers",2.3
2017-Q1,manufacturing,total,1.6
2017-Q1,manufacturing,"professional, managers, executive and technicians",1
2017-Q1,manufacturing,"clerical, sales and services workers",2
2017-Q1,manufacturing,"production and transport operators, cleaners and labourers",2
2017-Q1,construction,total,1.7
2017-Q1,construction,"professional, managers, executive and technicians",1.4
2017-Q1,construction,"clerical, sales and services workers",1.7
2017-Q1,construction,"production and transport operators, cleaners and labourers",1.8
2017-Q1,services,total,1.9
2017-Q1,services,"professional, managers, executive and technicians",1.1
2017-Q1,services,"clerical, sales and services workers",2.8
2017-Q1,services,"production and transport operators, cleaners and labourers",2.8
2017-Q1,others,total,1.3
2017-Q1,others,"professional, managers, executive and technicians",0.5
2017-Q1,others,"clerical, sales and services workers",1.3
2017-Q1,others,"production and transport operators, cleaners and labourers",2.8
2017-Q2,total,total,1.9
2017-Q2,total,"professional, managers, executive and technicians",1.2
2017-Q2,total,"clerical, sales and services workers",2.8
2017-Q2,total,"production and transport operators, cleaners and labourers",2.3
2017-Q2,manufacturing,total,1.6
2017-Q2,manufacturing,"professional, managers, executive and technicians",1.1
2017-Q2,manufacturing,"clerical, sales and services workers",2.6
2017-Q2,manufacturing,"production and transport operators, cleaners and labourers",1.9
2017-Q2,construction,total,1.9
2017-Q2,construction,"professional, managers, executive and technicians",1.7
2017-Q2,construction,"clerical, sales and services workers",2.4
2017-Q2,construction,"production and transport operators, cleaners and labourers",1.9
2017-Q2,services,total,2
2017-Q2,services,"professional, managers, executive and technicians",1.3
2017-Q2,services,"clerical, sales and services workers",2.8
2017-Q2,services,"production and transport operators, cleaners and labourers",2.9
2017-Q2,others,total,1
2017-Q2,others,"professional, managers, executive and technicians",0.5
2017-Q2,others,"clerical, sales and services workers",2.1
2017-Q2,others,"production and transport operators, cleaners and labourers",1.8
2017-Q3,total,total,1.8
2017-Q3,total,"professional, managers, executive and technicians",1.2
2017-Q3,total,"clerical, sales and services workers",2.5
2017-Q3,total,"production and transport operators, cleaners and labourers",2.3
2017-Q3,manufacturing,total,1.6
2017-Q3,manufacturing,"professional, managers, executive and technicians",1.1
2017-Q3,manufacturing,"clerical, sales and services workers",1.8
2017-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.9
2017-Q3,construction,total,1.7
2017-Q3,construction,"professional, managers, executive and technicians",1.6
2017-Q3,construction,"clerical, sales and services workers",1.6
2017-Q3,construction,"production and transport operators, cleaners and labourers",1.8
2017-Q3,services,total,1.9
2017-Q3,services,"professional, managers, executive and technicians",1.2
2017-Q3,services,"clerical, sales and services workers",2.6
2017-Q3,services,"production and transport operators, cleaners and labourers",2.8
2017-Q3,others,total,2.3
2017-Q3,others,"professional, managers, executive and technicians",0.8
2017-Q3,others,"clerical, sales and services workers",1
2017-Q3,others,"production and transport operators, cleaners and labourers",5.3
2017-Q4,total,total,1.7
2017-Q4,total,"professional, managers, executive and technicians",1.1
2017-Q4,total,"clerical, sales and services workers",2.4
2017-Q4,total,"production and transport operators, cleaners and labourers",2.1
2017-Q4,manufacturing,total,1.3
2017-Q4,manufacturing,"professional, managers, executive and technicians",0.9
2017-Q4,manufacturing,"clerical, sales and services workers",1.9
2017-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.7
2017-Q4,construction,total,1.8
2017-Q4,construction,"professional, managers, executive and technicians",1.7
2017-Q4,construction,"clerical, sales and services workers",1.6
2017-Q4,construction,"production and transport operators, cleaners and labourers",1.9
2017-Q4,services,total,1.7
2017-Q4,services,"professional, managers, executive and technicians",1.1
2017-Q4,services,"clerical, sales and services workers",2.5
2017-Q4,services,"production and transport operators, cleaners and labourers",2.6
2017-Q4,others,total,1
2017-Q4,others,"professional, managers, executive and technicians",0.4
2017-Q4,others,"clerical, sales and services workers",1.1
2017-Q4,others,"production and transport operators, cleaners and labourers",2.1
2018-Q1,total,total,1.8
2018-Q1,total,"professional, managers, executive and technicians",1.2
2018-Q1,total,"clerical, sales and services workers",2.7
2018-Q1,total,"production and transport operators, cleaners and labourers",2.2
2018-Q1,manufacturing,total,1.6
2018-Q1,manufacturing,"professional, managers, executive and technicians",1.1
2018-Q1,manufacturing,"clerical, sales and services workers",2.1
2018-Q1,manufacturing,"production and transport operators, cleaners and labourers",2
2018-Q1,construction,total,1.6
2018-Q1,construction,"professional, managers, executive and technicians",1.6
2018-Q1,construction,"clerical, sales and services workers",1.9
2018-Q1,construction,"production and transport operators, cleaners and labourers",1.6
2018-Q1,services,total,1.9
2018-Q1,services,"professional, managers, executive and technicians",1.2
2018-Q1,services,"clerical, sales and services workers",2.7
2018-Q1,services,"production and transport operators, cleaners and labourers",2.8
2018-Q1,others,total,1.8
2018-Q1,others,"professional, managers, executive and technicians",0.6
2018-Q1,others,"clerical, sales and services workers",2.1
2018-Q1,others,"production and transport operators, cleaners and labourers",4.1
2018-Q2,total,total,2
2018-Q2,total,"professional, managers, executive and technicians",1.4
2018-Q2,total,"clerical, sales and services workers",2.8
2018-Q2,total,"production and transport operators, cleaners and labourers",2.5
2018-Q2,manufacturing,total,1.8
2018-Q2,manufacturing,"professional, managers, executive and technicians",1.3
2018-Q2,manufacturing,"clerical, sales and services workers",2.4
2018-Q2,manufacturing,"production and transport operators, cleaners and labourers",2.2
2018-Q2,construction,total,2
2018-Q2,construction,"professional, managers, executive and technicians",1.9
2018-Q2,construction,"clerical, sales and services workers",2.4
2018-Q2,construction,"production and transport operators, cleaners and labourers",2
2018-Q2,services,total,2.1
2018-Q2,services,"professional, managers, executive and technicians",1.4
2018-Q2,services,"clerical, sales and services workers",2.9
2018-Q2,services,"production and transport operators, cleaners and labourers",3
2018-Q2,others,total,1.4
2018-Q2,others,"professional, managers, executive and technicians",0.7
2018-Q2,others,"clerical, sales and services workers",1.6
2018-Q2,others,"production and transport operators, cleaners and labourers",2.8
2018-Q3,total,total,1.7
2018-Q3,total,"professional, managers, executive and technicians",1.3
2018-Q3,total,"clerical, sales and services workers",2.3
2018-Q3,total,"production and transport operators, cleaners and labourers",2
2018-Q3,manufacturing,total,1.5
2018-Q3,manufacturing,"professional, managers, executive and technicians",1.2
2018-Q3,manufacturing,"clerical, sales and services workers",2.2
2018-Q3,manufacturing,"production and transport operators, cleaners and labourers",1.8
2018-Q3,construction,total,1.7
2018-Q3,construction,"professional, managers, executive and technicians",1.6
2018-Q3,construction,"clerical, sales and services workers",1.6
2018-Q3,construction,"production and transport operators, cleaners and labourers",1.7
2018-Q3,services,total,1.8
2018-Q3,services,"professional, managers, executive and technicians",1.3
2018-Q3,services,"clerical, sales and services workers",2.4
2018-Q3,services,"production and transport operators, cleaners and labourers",2.5
2018-Q3,others,total,1.3
2018-Q3,others,"professional, managers, executive and technicians",0.8
2018-Q3,others,"clerical, sales and services workers",1.8
2018-Q3,others,"production and transport operators, cleaners and labourers",2.2
2018-Q4,total,total,1.6
2018-Q4,total,"professional, managers, executive and technicians",1.1
2018-Q4,total,"clerical, sales and services workers",2.4
2018-Q4,total,"production and transport operators, cleaners and labourers",1.9
2018-Q4,manufacturing,total,1.3
2018-Q4,manufacturing,"professional, managers, executive and technicians",0.9
2018-Q4,manufacturing,"clerical, sales and services workers",2.1
2018-Q4,manufacturing,"production and transport operators, cleaners and labourers",1.4
2018-Q4,construction,total,1.7
2018-Q4,construction,"professional, managers, executive and technicians",1.7
2018-Q4,construction,"clerical, sales and services workers",2
2018-Q4,construction,"production and transport operators, cleaners and labourers",1.7
